,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Total Population,GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,CO2limits,CO2limitsOppose,trustclimsciSST,trustclimsciSSTOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,fundrenewables,fundrenewablesOppose,mediaweekly,mediaweeklyOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose
246,"Hillsborough County, Florida",44.6883738438374,51.493264680576466,0.8392261776726178,2.621195418369542,1198171,County,12057,"Hillsborough County, Florida",851556,32.841,67.347,71.439,27.559,75.16,23.441999999999997,77.808,21.551,69.118,30.180999999999997,84.344,15.238,,,72.26,11.729000000000001,56.303000000000004,30.405,50.99,26.393,60.263000000000005,40.019,41.285,50.361000000000004,60.231,31.403000000000002,65.395,24.271,71.808,18.930999999999997,71.827,20.215999999999998,51.821000000000005,48.126999999999995
247,"St. Lucie County, Florida",49.916507379326525,47.47496997818535,0.6146478032558569,1.75583204837598,266886,County,12111,"St. Lucie County, Florida",200884,30.21,69.878,69.217,29.233,71.282,25.951999999999998,74.249,24.015,63.876000000000005,33.518,82.228,16.3,,,71.545,11.074000000000002,53.137,34.080999999999996,47.163999999999994,27.375,57.178000000000004,43.175,39.921,50.553999999999995,57.398999999999994,32.688,61.961000000000006,25.883000000000003,68.954,20.002,68.84100000000001,21.006,51.403,47.96
248,"Pulaski County, Georgia",67.70428015564202,30.683713173985552,,1.6120066703724294,10894,County,13235,"Pulaski County, Georgia",8740,25.02,75.139,59.485,39.285,66.829,30.728,70.657,28.068,60.583999999999996,38.46,77.962,21.351999999999997,,,61.556999999999995,14.337,44.582,38.708,37.797,29.734,48.193999999999996,52.056999999999995,35.82,47.545,50.993,34.445,52.193000000000005,28.756999999999998,58.681999999999995,23.008000000000003,57.247,25.267,47.121,52.378
249,"Schley County, Georgia",77.10843373493977,21.00576217915139,,1.8858040859088532,4569,County,13249,"Schley County, Georgia",3331,28.351999999999997,71.69,57.483000000000004,41.41,62.968999999999994,34.468,67.17399999999999,31.391,56.742,41.871,77.63600000000001,20.826,,,61.861000000000004,15.16,43.512,38.977,38.687,30.838,48.235,51.958,36.5,50.434,52.053000000000004,36.385,53.141999999999996,29.99,59.858999999999995,24.601999999999997,58.092,27.021,46.528,52.769
250,"Camden County, Georgia",65.26958831341302,31.41567065073041,,3.314741035856573,48758,County,13039,"Camden County, Georgia",31155,28.045,72.124,60.74100000000001,38.42,69.616,29.029,71.492,27.680999999999997,61.111000000000004,38.446,80.512,19.172,,,64.167,16.175,46.513000000000005,36.747,41.742,32.571,48.653999999999996,51.692,34.412,53.748000000000005,51.16,39.215,54.333,31.79,61.67100000000001,25.128,59.619,27.913,45.507,54.361999999999995
251,"Worcester County, Massachusetts",41.2466008000588,51.74291024012263,1.4751740285375303,5.53531493128104,797139,County,25027,"Worcester County, Massachusetts",544804,32.165,67.85300000000001,71.405,27.336,72.601,25.26,75.887,22.171999999999997,67.28699999999999,31.274,84.69,15.165999999999999,,,70.803,12.027000000000001,54.492,29.98,53.062,26.123,59.121,40.852,37.951,51.815,57.104,33.937,64.113,25.239,71.71600000000001,17.686,72.13600000000001,18.583,49.851000000000006,49.729
252,"Wolfe County, Kentucky",68.46299810246678,28.57685009487666,0.3415559772296015,1.5939278937381405,7217,County,21237,"Wolfe County, Kentucky",5035,27.276999999999997,72.646,64.007,34.433,67.961,30.005,73.51899999999999,25.39,62.571999999999996,36.217,79.755,19.302,,,63.591,15.952,48.935,35.485,42.419,30.939,51.118,48.633,34.335,54.00899999999999,51.87,37.174,55.461000000000006,30.909000000000002,64.065,23.776999999999997,63.648,25.264,45.516999999999996,53.818000000000005
253,"Knox County, Maine",39.73763085878112,54.03761782720126,2.32396507536597,3.9007862386516656,40316,County,23013,"Knox County, Maine",29688,36.75,63.358999999999995,71.734,26.988000000000003,73.722,23.828000000000003,78.393,20.87,67.671,31.263,84.587,14.648,,,73.919,10.892000000000001,56.726000000000006,30.435,54.383,27.506,61.28,38.944,37.408,56.45,59.20399999999999,34.091,64.82,25.723000000000003,73.471,17.92,72.74,19.816,52.211999999999996,47.132
254,"Calvert County, Maryland",56.80745770514444,38.368051559442975,1.0334906203245482,3.7910001150880426,88396,County,24009,"Calvert County, Maryland",59690,31.405,68.671,65.31,32.969,70.615,26.998,72.251,26.279,63.34,35.207,81.582,16.977,,,67.875,13.696,50.258,34.262,45.066,30.809,54.081,45.88,36.156,52.549,54.108000000000004,34.944,59.7,27.426,67.167,20.326,66.553,21.555999999999997,47.583999999999996,52.053000000000004
255,"Macomb County, Michigan",53.630248368447816,42.084375067160494,0.9279490320531648,3.070876107103371,834723,County,26099,"Macomb County, Michigan",586838,30.06,70.013,68.038,30.314,68.709,27.438000000000002,75.445,22.93,63.743,34.999,81.514,17.499000000000002,,,66.704,14.852,50.12,33.521,44.291000000000004,31.206999999999997,53.452,46.653,34.957,54.348,52.464,37.631,56.731,29.921,66.762,20.179000000000002,63.576,23.469,46.574,53.099
